"","date","gdpeu2"
"164",2012.58333333333,2461263.39087804
"165",2012.66666666667,2460534.61728645
"166",2012.75,2459443.8
"167",2012.83333333333,2458536.70447049
"168",2012.91666666667,2458836.87485808
"169",2013,2461487.3
"170",2013.08333333333,2467114.51346221
"171",2013.16666666667,2474279.22772566
"172",2013.25,2481025.7
"173",2013.33333333333,2485865.65279177
"174",2013.41666666667,2489180.66979486
"175",2013.5,2491819.8
"176",2013.58333333333,2494559.05314849
"177",2013.66666666667,2497882.28198382
"178",2013.75,2502200.3
"179",2013.83333333333,2507651.01239204
"180",2013.91666666667,2513280.69115879
"181",2014,2517862.7
"182",2014.08333333333,2520607.05283888
"183",2014.16666666667,2522470.36449217
"184",2014.25,2524845.9
"185",2014.33333333333,2528781.87254874
"186",2014.41666666667,2533946.2879096
"187",2014.5,2539662.1
