"","date","gdpch2"
"174",2013.41666666667,159250.049254411
"175",2013.5,159377.9
"176",2013.58333333333,159463.615329489
"177",2013.66666666667,159536.508658601
"178",2013.75,159620.7
"179",2013.83333333333,159733.540395068
"180",2013.91666666667,159865.305000073
"181",2014,159999.5
"182",2014.08333333333,160125.411979126
"183",2014.16666666667,160255.449118886
"184",2014.25,160407.8
"185",2014.33333333333,160599.441318055
"186",2014.41666666667,160842.502228089
"187",2014.5,161147.9
"188",2014.58333333333,161506.063489393
"189",2014.66666666667,161825.467894686
"190",2014.75,161994.1
"191",2014.83333333333,161934.701020669
"192",2014.91666666667,161709.029896871
"193",2015,161413.6
"194",2015.08333333333,161136.621316822
"195",2015.16666666667,160933.090295606
"196",2015.25,160849.7
"197",2015.33333333333,160917.513712044
