"CubeId";"snbbipo"
"PublishingDate";"2017-02-28 09:00"

"Date";"D0";"Value"
"2003-08";"RIWF";"2734.41543253"
"2003-08";"W";"352.27327782"
"2003-08";"WSF";"7659.27864593"
"2003-08";"UA";"1340.61828798"
"2003-08";"T0";"123536.17125987"
"2003-09";"GFG";"27847.58336658"
"2003-09";"D";"56167.11477921"
"2003-09";"RIWF";"2785.15723413"
"2003-09";"W";"349.06773866"
"2003-09";"WSF";"7605.7485378"
"2003-09";"UA";"1495.23464634"
"2003-09";"T0";"122774.35751173"
"2003-10";"GFG";"27445.98518204"
"2003-10";"D";"56777.94578477"
"2003-10";"RIWF";"2710.85387906"
"2003-10";"W";"349.06768503"
"2003-10";"WSF";"7690.71305519"
"2003-10";"UA";"1507.62860374"
"2003-10";"T0";"117888.39089104"
"2003-11";"GFG";"27171.90824543"
"2003-11";"D";"58224.81862038"
"2003-11";"RIWF";"2696.77641728"
"2003-11";"W";"343.83056213"
"2003-11";"WSF";"7725.04031911"
"2003-11";"UA";"1515.27344242"
"2003-11";"T0";"120836.33906563"
"2003-12";"GFG";"27128.03288242"
"2003-12";"D";"56311.72971353"
"2003-12";"RIWF";"2561.88866342"
"2003-12";"W";"327.21452941"
"2003-12";"WSF";"7657.86474905"
"2003-12";"UA";"1630.59477715"
"2003-12";"T0";"122797.65010814"
"2004-01";"GFG";"26729.39252827"
"2004-01";"D";"58661.64622273"
"2004-01";"RIWF";"2561.88866342"
"2004-01";"W";"327.21452941"
"2004-01";"WSF";"7674.56988132"
"2004-01";"UA";"1667.12561993"
"2004-01";"T0";"119317.87030734"
"2004-02";"GFG";"26401.39127625"
"2004-02";"D";"58004.24687979"
"2004-02";"RIWF";"2529.71850251"
"2004-02";"W";"329.92771274"
"2004-02";"WSF";"7704.67615238"
"2004-02";"UA";"1654.55622884"
"2004-02";"T0";"118282.43733695"
"2004-03";"GFG";"27092.39294593"
"2004-03";"D";"60401.51845466"
"2004-03";"RIWF";"2478.63553145"
"2004-03";"W";"330.73110985"
"2004-03";"WSF";"7836.0366995"
"2004-03";"UA";"1221.76947375"
"2004-03";"T0";"122934.99037651"
"2004-04";"GFG";"26776.20435164"
"2004-04";"D";"60521.1737825"
"2004-04";"RIWF";"2478.73553145"
"2004-04";"W";"325.53558071"
"2004-04";"WSF";"7900.29843996"
"2004-04";"UA";"1229.01216307"
"2004-04";"T0";"121282.2312219"
"2004-05";"GFG";"26411.60339227"
"2004-05";"D";"59985.40975533"
"2004-05";"RIWF";"2478.83553145"
"2004-05";"W";"325.53548415"
"2004-05";"WSF";"7871.02098294"
"2004-05";"UA";"1197.36923968"
"2004-05";"T0";"122563.00632669"
"2004-06";"GFG";"23877.84293181"
"2004-06";"D";"57274.6032775"
"2004-06";"RIWF";"2428.76440689"
"2004-06";"W";"320.00393139"
"2004-06";"WSF";"7591.0459613"
"2004-06";"UA";"1275.17958919"
"2004-06";"T0";"118574.88908091"
"2004-07";"GFG";"23434.3021571"
"2004-07";"D";"57172.84678638"
"2004-07";"RIWF";"2314.35171175"
"2004-07";"W";"309.92901664"
"2004-07";"WSF";"7517.642583"
"2004-07";"UA";"957.68357503"
"2004-07";"T0";"116310.03128097"
"2004-08";"GFG";"23085.57371081"
"2004-08";"D";"58154.8732085"
"2004-08";"RIWF";"2335.40791407"
"2004-08";"W";"315.66956666"
"2004-08";"WSF";"7445.20406026"
"2004-08";"UA";"946.17839051"
"2004-08";"T0";"116758.27316376"
"2004-09";"GFG";"23771.64548415"
"2004-09";"D";"60798.36968068"
"2004-09";"RIWF";"2305.21320375"
"2004-09";"W";"316.63186023"
"2004-09";"WSF";"7479.37158387"
"2004-09";"UA";"1028.36887547"
"2004-09";"T0";"122075.43906918"
"2004-10";"GFG";"23336.17909095"
"2004-10";"D";"60467.20339607"
"2004-10";"RIWF";"2228.58297438"
"2004-10";"W";"311.69054131"
"2004-10";"WSF";"7307.63360647"
"2004-10";"UA";"958.30613285"
"2004-10";"T0";"118130.30427461"
"2004-11";"GFG";"22951.5861679"
"2004-11";"D";"61765.74012821"
"2004-11";"RIWF";"2207.67314656"
"2004-11";"W";"311.69054131"
"2004-11";"WSF";"7252.10892328"
"2004-11";"UA";"952.05808536"
"2004-11";"T0";"117670.2243269"
"2004-12";"GFG";"21639.22191131"
"2004-12";"D";"60708.02531059"
"2004-12";"RIWF";"2035.10882115"
"2004-12";"W";"291.27634192"
"2004-12";"WSF";"7393.59138375"
"2004-12";"UA";"1246.92473895"
"2004-12";"T0";"117908.79237995"
"2005-01";"GFG";"21230.81002864"
"2005-01";"D";"60454.39772232"
"2005-01";"RIWF";"2028.69102855"
"2005-01";"W";"284.78146992"
"2005-01";"WSF";"7113.60362104"
"2005-01";"UA";"950.46741282"
"2005-01";"T0";"111669.06369088"
"2005-02";"GFG";"20913.07916159"
"2005-02";"D";"61716.3377886"
"2005-02";"RIWF";"1958.33768346"
"2005-02";"W";"284.78146992"
"2005-02";"WSF";"6535.9553017"
"2005-02";"UA";"960.5157637"
"2005-02";"T0";"111978.72014084"
"2005-03";"GFG";"21268.82693747"
"2005-03";"D";"63786.2192587"
"2005-03";"RIWF";"2023.79833065"
"2005-03";"W";"290.75599644"
"2005-03";"WSF";"5867.98003545"
"2005-03";"UA";"1093.55857896"
"2005-03";"T0";"116559.86864109"
"2005-04";"GFG";"21208.17916169"
"2005-04";"D";"62371.44187111"
"2005-04";"RIWF";"1832.92697485"
"2005-04";"W";"283.99694872"
"2005-04";"WSF";"5709.04982101"
"2005-04";"UA";"932.93628619"
"2005-04";"T0";"115364.01056515"
"2005-05";"GFG";"21208.59001171"
"2005-05";"D";"56529.87013084"
"2005-05";"RIWF";"1831.34483492"
"2005-05";"W";"283.99661511"
"2005-05";"WSF";"5682.4666821"
"2005-05";"UA";"965.30476803"
"2005-05";"T0";"109534.3270275"
"2005-06";"GFG";"23320.51965345"
"2005-06";"D";"48793.62232967"
"2005-06";"RIWF";"1899.27676481"
"2005-06";"W";"296.30488406"
"2005-06";"WSF";"5786.62591085"
"2005-06";"UA";"1027.51030192"
"2005-06";"T0";"106738.16012241"
"2005-07";"GFG";"23244.07601751"
"2005-07";"D";"44452.37687846"
"2005-07";"RIWF";"1926.66387525"
"2005-07";"W";"281.39513204"
"2005-07";"WSF";"5687.83827568"
"2005-07";"UA";"984.64219393"
"2005-07";"T0";"97609.53233659"
"2005-08";"GFG";"23234.09098255"
"2005-08";"D";"44983.07785721"
"2005-08";"RIWF";"1537.00801308"
"2005-08";"W";"281.31438704"
"2005-08";"WSF";"5674.46758632"
"2005-08";"UA";"1031.98403556"
"2005-08";"T0";"97222.86305234"
"2005-09";"GFG";"25483.19440045"
"2005-09";"D";"45583.75597768"
"2005-09";"RIWF";"1542.92673008"
"2005-09";"W";"280.33600702"
"2005-09";"WSF";"5763.28758115"
"2005-09";"UA";"1023.87267097"
"2005-09";"T0";"101689.14594632"
"2005-10";"GFG";"25411.1080465"
"2005-10";"D";"45047.80639398"
"2005-10";"RIWF";"1519.88781951"
"2005-10";"W";"278.22377152"
"2005-10";"WSF";"5679.6173693"
"2005-10";"UA";"963.2174087"
"2005-10";"T0";"98408.17524168"
"2005-11";"GFG";"25407.33169332"
"2005-11";"D";"45428.6636823"
"2005-11";"RIWF";"1444.82096394"
"2005-11";"W";"273.13284652"
"2005-11";"WSF";"5680.61791381"
"2005-11";"UA";"957.94580468"
"2005-11";"T0";"101918.26064751"
"2005-12";"GFG";"28050.20195406"
"2005-12";"D";"46585.45717095"
"2005-12";"RIWF";"1079.79757579"
"2005-12";"W";"270.20697654"
"2005-12";"WSF";"5729.0637506"
"2005-12";"UA";"990.63096152"
"2005-12";"T0";"108988.20997797"
"2006-01";"GFG";"27991.16923122"
"2006-01";"D";"46068.0245912"
"2006-01";"RIWF";"733.75135348"
"2006-01";"W";"181.72471357"
"2006-01";"WSF";"5619.53453175"
"2006-01";"UA";"885.14711341"
"2006-01";"T0";"102536.00993654"
"2006-02";"GFG";"28006.9834562"
"2006-02";"D";"45665.95910794"
"2006-02";"RIWF";"733.85135348"
"2006-02";"W";"181.72471357"
"2006-02";"WSF";"5506.52982235"
"2006-02";"UA";"894.45008041"
"2006-02";"T0";"104531.75085746"
"2006-03";"GFG";"31561.43189638"
"2006-03";"D";"45552.74755576"
"2006-03";"RIWF";"725.63346618"
"2006-03";"W";"192.78716494"
"2006-03";"WSF";"5336.5410801"
"2006-03";"UA";"933.19022765"
"2006-03";"T0";"108898.45240167"
"2006-04";"GFG";"31513.94223186"
"2006-04";"D";"44755.50757706"
"2006-04";"RIWF";"720.93022143"
"2006-04";"W";"191.10552204"
"2006-04";"WSF";"5338.1437521"
"2006-04";"UA";"865.27542178"
"2006-04";"T0";"106142.17002296"
"2006-05";"GFG";"31466.59413671"
"2006-05";"D";"44539.25603847"
"2006-05";"RIWF";"739.25026253"
"2006-05";"W";"204.33026405"
"2006-05";"WSF";"5369.13837576"
"2006-05";"UA";"865.96597858"
"2006-05";"T0";"103549.94919788"
"2006-06";"GFG";"31279.06712051"
"2006-06";"D";"43785.35250747"
"2006-06";"RIWF";"720.18205479"
"2006-06";"W";"196.74207294"
"2006-06";"WSF";"5303.98785395"
"2006-06";"UA";"927.33750003"
"2006-06";"T0";"103753.89518961"
"2006-07";"GFG";"31238.86676496"
"2006-07";"D";"43614.46608432"
