"CubeId";"devkum"
"PublishingDate";"2017-03-01 14:30"

"Date";"D0";"D1";"Value"
"1999-05";"M1";"MXN100";"15.69"
"1999-05";"M1";"ZAR1";"0.2447"
"1999-05";"M1";"JPY100";"1.2545"
"1999-05";"M1";"AUD1";"0.9884"
"1999-05";"M1";"CNY100";"18.391"
"1999-05";"M1";"HKD100";"19.6402"
"1999-05";"M1";"KRW100";"0.1284"
"1999-05";"M1";"MYR100";"40.08"
"1999-05";"M1";"NZD1";"0.8154"
"1999-05";"M1";"SGD100";"88.2387"
"1999-05";"M1";"THB100";"4.104"
"1999-05";"M1";"XDR1";"2.04187"
"1999-06";"M0";"EUR1";"1.5948"
"1999-06";"M0";"GBP1";"2.4517"
"1999-06";"M0";"DKK100";"21.4532"
"1999-06";"M0";"NOK100";"19.5168"
"1999-06";"M0";"CZK100";"4.3022"
"1999-06";"M0";"HUF100";"0.6398"
"1999-06";"M0";"PLN100";"38.99"
"1999-06";"M0";"RUB100";"6.2709"
"1999-06";"M0";"SEK100";"18.0509"
"1999-06";"M0";"TRY100";"0.000371"
"1999-06";"M0";"USD1";"1.5357"
"1999-06";"M0";"CAD1";"1.0449"
"1999-06";"M0";"ARS100";"153.6036"
"1999-06";"M0";"BRL100";"87.1527"
"1999-06";"M0";"MXN100";"16.1773"
"1999-06";"M0";"ZAR1";"0.2517"
"1999-06";"M0";"JPY100";"1.270945"
"1999-06";"M0";"AUD1";"1.007477"
"1999-06";"M0";"CNY100";"18.56645455"
"1999-06";"M0";"HKD100";"19.797441"
"1999-06";"M0";"KRW100";"0.1315"
"1999-06";"M0";"MYR100";"40.4155"
"1999-06";"M0";"NZD1";"0.8178"
"1999-06";"M0";"SGD100";"89.8191"
"1999-06";"M0";"THB100";"4.164"
"1999-06";"M0";"XDR1";"2.059954"
"1999-06";"M1";"EUR1";"1.6017"
"1999-06";"M1";"GBP1";"2.4388"
"1999-06";"M1";"DKK100";"21.54"
"1999-06";"M1";"NOK100";"19.76"
"1999-06";"M1";"CZK100";"4.4178"
"1999-06";"M1";"HUF100";"0.643"
"1999-06";"M1";"PLN100";"39.63"
"1999-06";"M1";"RUB100";"6.38"
"1999-06";"M1";"SEK100";"18.32"
"1999-06";"M1";"TRY100";"0.0003673"
"1999-06";"M1";"USD1";"1.5494"
"1999-06";"M1";"CAD1";"1.0501"
"1999-06";"M1";"ARS100";"154.96"
"1999-06";"M1";"BRL100";"88.44"
"1999-06";"M1";"MXN100";"16.55"
"1999-06";"M1";"ZAR1";"0.2566"
"1999-06";"M1";"JPY100";"1.2798"
"1999-06";"M1";"AUD1";"1.0229"
"1999-06";"M1";"CNY100";"18.786"
"1999-06";"M1";"HKD100";"19.9716"
"1999-06";"M1";"KRW100";"0.1339"
"1999-06";"M1";"MYR100";"40.78"
"1999-06";"M1";"NZD1";"0.8207"
"1999-06";"M1";"SGD100";"91.1412"
"1999-06";"M1";"THB100";"4.208"
"1999-06";"M1";"XDR1";"2.07394"
"1999-07";"M0";"EUR1";"1.6041"
"1999-07";"M0";"GBP1";"2.4389"
