Date,ChfEuroExchangerateMonthlyAverage,ChfEuroExchangerateMonthlyEnd,ChfDollarExchangerateMonthlyAverage,ChfDollarExchangerateMonthlyEnd,ForeignCurrencyInvestments,GoldHoldings,ReservePositionsIMF,CHFsecurities,MonetaryAssistanceLoans,OtherAssets,TotalAssets,ConsumerPriceIndex,BusinessConfidenceIndex,CallMoneyRate,EuroGDP,SwissGDP
2004-02,1.5731,1.5758,1.2436,1.2678,58004.24687979,26401.39127625,2529.71850251,7704.67615238,329.92771274,1654.55622884,118282.43733695,0.09064917,100.0136,0.09,2016829.47985722,121558.973721749
2004-03,1.5666,1.5588,1.2767,1.2739,60401.51845466,27092.39294593,2478.63553145,7836.0366995,330.73110985,1221.76947375,122934.99037651,-0.09703136,100.1409,0.1,2024377.6519823,121746.83764964
2004-04,1.5547,1.5521,1.2965,1.2978,60521.1737825,26776.20435164,2478.73553145,7900.29843996,325.53558071,1229.01216307,121282.2312219,0.5459229,100.3014,0.12,2030988.9,121951.6
2004-05,1.5408,1.5301,1.2828,1.246,59985.40975533,26411.60339227,2478.83553145,7871.02098294,325.53548415,1197.36923968,122563.00632669,0.9399631,100.4664,0.1,2036344.34695526,122193.848257708
2004-06,1.5187,1.5281,1.251,1.2612,57274.6032775,23877.84293181,2428.76440689,7591.0459613,320.00393139,1275.17958919,118574.88908091,1.11204,100.6081,0.36,2041169.27357345,122444.886981835
2004-07,1.5268,1.5399,1.2438,1.2765,57172.84678638,23434.3021571,2314.35171175,7517.642583,309.92901664,957.68357503,116310.03128097,0.8624169,100.6662,0.22,2046450,122663.7
2004-08,1.5381,1.5426,1.2629,1.2774,58154.8732085,23085.57371081,2335.40791407,7445.20406026,315.66956666,946.17839051,116758.27316376,1.001052,100.6584,0.18,2052813.43972911,122827.962877049
2004-09,1.5431,1.5535,1.2631,1.2605,60798.36968068,23771.64548415,2305.21320375,7479.37158387,316.63186023,1028.36887547,122075.43906918,0.8608367,100.5764,0.54,2059448.87964986,122990.118126726
2004-10,1.5427,1.5277,1.235,1.1975,60467.20339607,23336.17909095,2228.58297438,7307.63360647,311.69054131,958.30613285,118130.30427461,1.292668,100.4304,0.58,2065186.2,123221.3
2004-11,1.5221,1.5141,1.1732,1.1418,61765.74012821,22951.5861679,2207.67314656,7252.10892328,311.69054131,952.05808536,117670.2243269,1.517432,100.3093,0.45,2069311.25338752,123571.878011873
2004-12,1.5359,1.5431,1.1453,1.1319,60708.02531059,21639.22191131,2035.10882115,7393.59138375,291.27634192,1246.92473895,117908.79237995,1.33171,100.3174,0.55,2072933.7819012,124009.162733484
2005-01,1.5467,1.5493,1.1777,1.1918,60454.39772232,21230.81002864,2028.69102855,7113.60362104,284.78146992,950.46741282,111669.06369088,1.204848,100.3962,0.6,2077619.5,124479.7
2005-02,1.5499,1.5394,1.1907,1.1617,61716.3377886,20913.07916159,1958.33768346,6535.9553017,284.78146992,960.5157637,111978.72014084,1.410244,100.3887,0.63,2084466.83190597,124943.113964345
2005-03,1.5489,1.55,1.1727,1.196,63786.2192587,21268.82693747,2023.79833065,5867.98003545,290.75599644,1093.55857896,116559.86864109,1.441198,100.3547,0.75,2092705.0408935,125411.342050451
2005-04,1.5471,1.5372,1.1949,1.186,62371.44187111,21208.17916169,1832.92697485,5709.04982101,283.99694872,932.93628619,115364.01056515,1.415957,100.3292,0.64,2101096.1,125909.4
2005-05,1.5448,1.5425,1.2173,1.2452,56529.87013084,21208.59001171,1831.34483492,5682.4666821,283.99661511,965.30476803,109534.3270275,1.08177,100.2557,0.66,2108753.53750709,126454.780945559
2005-06,1.5382,1.5489,1.2643,1.2832,48793.62232967,23320.51965345,1899.27676481,5786.62591085,296.30488406,1027.51030192,106738.16012241,0.6808151,100.1861,0.58,2116197.10267299,127034.887583232
2005-07,1.5581,1.5606,1.2937,1.291,44452.37687846,23244.07601751,1926.66387525,5687.83827568,281.39513204,984.64219393,97609.53233659,1.189098,100.2342,0.63,2124298.1,127629.6
2005-08,1.5526,1.5497,1.2623,1.2688,44983.07785721,23234.09098255,1537.00801308,5674.46758632,281.31438704,1031.98403556,97222.86305234,0.9607608,100.3341,0.63,2133618.62917674,128229.147438599
2005-09,1.5491,1.5556,1.2638,1.2942,45583.75597768,25483.19440045,1542.92673008,5763.28758115,280.33600702,1023.87267097,101689.14594632,1.396591,100.4955,0.63,2143483.97063682,128865.155764771
